titre,réalisateur(s),année de production,nationalité2,année de dernière diffusion,nb. de diffusions,dont en première partie de soirée,nb. moyen de diffusions par an
GRAND BLOND AVEC UNE CHAUSSURE NOIRE (LE),ROBERT Yves,1972,France,2019,30,24,0.8
LEON,BESSON Luc,1993,France,2019,30,19,1.4
LIGUE DES GENTLEMEN EXTRAORDINAIRES (LA),NORRINGTON Stephen,2003,Etats-Unis,2019,30,20,2.3
PETIT BAIGNEUR (LE),DHERY Robert,1967,France,2019,30,16,0.7
POUIC-POUIC,GIRAULT Jean,1963,France,2018,30,12,0.7
SUPER FLICS DE MIAMI (LES),CORBUCCI Bruno,1985,autres nationalités,2015,30,22,1.2
BANDE A PICSOU : LE TRESOR DE LA LAMPE PERDUE (LA),BRIZZI Gaëtan / BRIZZI Paul / HATHCOCK Bob / MARCOS RODRIC Mathias / PALLANT Clive / WOODCOCK Vincent,1989,France,2019,29,19,1.2
BANZAI,ZIDI Claude,1982,France,2019,29,22,0.9
CHATEAU DE MA MERE (LE),ROBERT Yves,1989,France,2019,29,16,1.1
COURSE A L'ECHALOTE (LA),ZIDI Claude,1975,France,2017,29,15,0.8
CROCODILE DUNDEE,FAIMAN Peter,1986,autres nationalités,2018,29,16,1.0
DERNIER DOMICILE CONNU,GIOVANNI José,1969,France,2018,29,14,0.7
DERNIER EMPEREUR (LE),BERTOLUCCI Bernardo,1987,Europe,2018,29,18,1.0
DEUX SUPER-FLICS,CLUCHER E. B.,1977,Europe,2015,29,23,1.1
GRANDES VACANCES (LES),GIRAULT Jean,1967,France,2019,29,20,0.7
GUIGNOLO (LE),LAUTNER Georges,1979,France,2015,29,19,0.9
HIBERNATUS,MOLINARO Edouard,1969,France,2019,29,17,0.7
MON NOM EST PERSONNE,VALERII Tonino,1973,France,2018,29,15,0.7
OPERATION CORNED BEEF (L'),POIRE Jean-Marie,1990,France,2019,29,23,1.2
OSCAR,MOLINARO Edouard,1967,France,2019,29,19,0.7
PINOT SIMPLE FLIC,JUGNOT Gérard,1984,France,2017,29,23,1.0
REGRETS (LES),KAHN Cédric,2008,France,2018,29,1,4.8
RETOUR DU GRAND BLOND (LE),ROBERT Yves,1974,France,2019,29,17,0.7
RETOUR VERS LE FUTUR 2,ZEMECKIS Robert,1989,Etats-Unis,2019,29,18,1.2
TATIE DANIELLE,CHATILIEZ Etienne,1989,France,2019,29,23,1.1
BOUM 2 (LA),PINOTEAU Claude,1982,France,2019,28,13,0.8
CANONS DE NAVARONE (LES),LEE THOMPSON Jack,1960,Europe,2019,28,14,0.7
CITE DE LA PEUR (LA),BERBERIAN Alain,1993,France,2019,28,23,1.2
COUP DU PARAPLUIE (LE),OURY Gérard,1980,France,2019,28,14,0.8
ENFANTS DU PARADIS (LES),CARNE Marcel,1945,France,2012,28,5,0.5
ET DIEU CREA LA FEMME,VADIM Roger,1956,France,2018,28,8,0.7
GAZON MAUDIT,BALASKO Josiane,1994,France,2019,28,20,1.3
GRAND BLEU (LE) VERSION LONGUE,BESSON Luc,1987,France,2019,28,24,1.0
HOMME DE RIO (L'),DE BROCA Philippe,1963,France,2017,28,7,0.6
JURASSIC PARK,SPIELBERG Steven,1992,Etats-Unis,2019,28,16,1.3
MAINTENANT ON L'APPELLE PLATA,COLIZZI Giuseppe,1973,France,2019,28,15,0.9
NEVADA SMITH,HATHAWAY Henry,1966,Etats-Unis,2019,28,14,0.7
ROMUALD ET JULIETTE,SERREAU Coline,1988,France,2018,28,23,1.1
RRRRRRR !!!,CHABAT Alain,2003,France,2019,28,20,2.3
SOIF DE L'OR (LA),OURY Gérard,1992,France,2016,28,22,1.4
TROU NORMAND (LE),BOYER Jean,1952,France,2017,28,17,0.6
ADIEU POULET,GRANIER-DEFERRE Pierre,1975,France,2018,27,15,0.7
ANGELIQUE. MARQUISE DES ANGES,BORDERIE Bernard,1964,France,2019,27,14,0.6
BARBOUZES (LES),LAUTNER Georges,1964,France,2018,27,15,0.6
CACTUS (LE),BITTON Gérard / MUNZ Michel,2005,France,2019,27,9,2.7
DALTON (LES),HAIM Philippe,2004,France,2019,27,17,2.5
DON CAMILLO MONSEIGNEUR,GALLONE Carmine,1961,France,2019,27,6,0.5
ESPION LEVE-TOI,BOISSET Yves,1981,France,2019,27,14,0.8
FAST AND FURIOUS : TOKYO DRIFT,LIN Justin,2005,Etats-Unis,2019,27,13,2.7
FEMME DE MON POTE (LA),BLIER Bertrand,1983,France,2019,27,17,0.8
FLIC DE BEVERLY HILLS (LE),BREST Martin,1984,Etats-Unis,2019,27,16,0.9
FLIC DE BEVERLY HILLS 2 (LE),SCOTT Tony,1987,Etats-Unis,2019,27,15,1.0
GRANDE BAGARRE DE DON CAMILLO (LA),GALLONE Carmine,1955,Europe,2019,27,5,0.5
